"Rank";"Name";"Platform";"Year";"Genre";"Publisher";"Global_Sales"
1394;"Deus Ex: Human Revolution";"PS3";"2011";"Shooter";"Square Enix";1,39
1398;"Hannah Montana: Spotlight World Tour";"Wii";"2007";"Action";"Disney Interactive Studios";1,39
1399;"WWE '13";"PS3";"2012";"Action";"THQ";1,39
1400;"Deus Ex: Human Revolution";"X360";"2011";"Shooter";"Square Enix";1,39
1404;"Bravely Default: Flying Fairy";"3DS";"2012";"Role-Playing";"Nintendo";1,38
1405;"Titanfall";"X360";"2014";"Shooter";"Electronic Arts";1,38
1407;"Persona 4: Golden";"PSV";"2012";"Role-Playing";"Atlus";1,38
1408;"Dead Rising 2";"PS3";"2010";"Action";"Capcom";1,38
1409;"Hasbro Family Game Night 2";"Wii";"2009";"Misc";"Electronic Arts";1,38
1410;"Disney Princess: Enchanted Journey";"Wii";"2007";"Adventure";"Disney Interactive Studios";1,38
1411;"Gardening Mama";"DS";"2009";"Puzzle";"505 Games";1,38
1413;"Need for Speed: The Run";"X360";"2011";"Action";"Electronic Arts";1,38
1414;"LEGO Indiana Jones: The Original Adventures";"PS2";"2008";"Action";"LucasArts";1,37
1415;"Assassin's Creed: Rogue";"PS3";"2014";"Action";"Ubisoft";1,37
1418;"Forza Horizon 2";"XOne";"2014";"Racing";"Microsoft Game Studios";1,37
1419;"MotorStorm: Pacific Rift";"PS3";"2008";"Racing";"Sony Computer Entertainment";1,37
1420;"Sonic Colors";"DS";"2010";"Platform";"Sega";1,37
1422;"LEGO Harry Potter: Years 1-4";"PS3";"2010";"Action";"Warner Bros. Interactive Entertainment";1,37
1424;"NBA 2K15";"PS3";"2014";"Sports";"Take-Two Interactive";1,36
1427;"Burnout Paradise";"X360";"2008";"Racing";"Electronic Arts";1,36
1428;"SingStar Abba";"PS2";"2008";"Misc";"Sony Computer Entertainment";1,36
1432;"Yoshi's New Island";"3DS";"2014";"Platform";"Nintendo";1,36
1433;"Ryse: Son of Rome";"XOne";"2013";"Action";"Microsoft Game Studios";1,36
1436;"Marvel vs. Capcom 3: Fate of Two Worlds";"PS3";"2011";"Fighting";"Capcom";1,35
1438;"F1 2010";"PS3";"2010";"Racing";"Codemasters";1,35
1440;"FIFA Soccer 09";"PSP";"2008";"Sports";"Electronic Arts";1,35
1441;"Namco Museum DS";"DS";"2007";"Misc";"Atari";1,35
1442;"FIFA Soccer 08";"PSP";"2007";"Sports";"Electronic Arts";1,35
1443;"Grand Theft Auto: Chinatown Wars";"DS";"2009";"Action";"Take-Two Interactive";1,35
1444;"Alan Wake";"X360";"2010";"Action";"Microsoft Game Studios";1,35
1445;"Battlefield: Bad Company";"PS3";"2008";"Shooter";"Electronic Arts";1,35
1446;"Mortal Kombat X";"XOne";"2015";"Fighting";"Warner Bros. Interactive Entertainment";1,35
1449;"Devil May Cry 4";"X360";"2008";"Action";"Capcom";1,35
1450;"Tom Clancy's Rainbow Six: Vegas 2";"PS3";"2008";"Shooter";"Ubisoft";1,35
1452;"Crysis 2";"X360";"2011";"Action";"Electronic Arts";1,35
1455;"FIFA Soccer 08";"X360";"2007";"Sports";"Electronic Arts";1,35
1456;"The ICO & Shadow of the Colossus Collection";"PS3";"2011";"Adventure";"Sony Computer Entertainment";1,35
1467;"WWE SmackDown vs Raw 2008";"PS3";"2007";"Fighting";"THQ";1,33
1469;"Your Shape: Fitness Evolved";"X360";"2010";"Sports";"Ubisoft";1,33
1470;"Rage";"PS3";"2011";"Shooter";"Bethesda Softworks";1,33
1471;"Skylanders SWAP Force";"X360";"2013";"Platform";"Activision";1,33
1472;"NBA 2K14";"PS4";"2013";"Sports";"Take-Two Interactive";1,33
1479;"UFC Undisputed 2010";"X360";"2010";"Fighting";"THQ";1,33
1480;"Final Fantasy X / X-2 HD Remaster";"PS3";"2013";"Role-Playing";"Square Enix";1,33
1482;"Petz Wild Animals: Dolphinz";"DS";"2007";"Simulation";"Ubisoft";1,33
1483;"Pokemon Ranger: Guardian Signs";"DS";"2010";"Role-Playing";"Nintendo";1,33
1484;"Middle-Earth: Shadow of Mordor";"XOne";"2014";"Action";"Warner Bros. Interactive Entertainment";1,32
1486;"LEGO Batman: The Videogame";"PS3";"2008";"Action";"Warner Bros. Interactive Entertainment";1,32
1487;"Dark Souls II";"PS3";"2014";"Role-Playing";"Namco Bandai Games";1,32
1488;"World of Warcraft: Wrath of the Lich King";"PC";"2008";"Role-Playing";"Activision";1,32
1489;"Kingdom Hearts II";"PS3";"2014";"Role-Playing";"Square Enix";1,32
1490;"The LEGO Movie Videogame";"X360";"2014";"Action";"Warner Bros. Interactive Entertainment";1,32
1496;"MAG: Massive Action Game";"PS3";"2010";"Shooter";"Sony Computer Entertainment";1,32
1498;"Cars 2";"DS";"2011";"Racing";"Disney Interactive Studios";1,32
1499;"Skylanders Giants";"X360";"2012";"Action";"Activision";1,32
1503;"The Beatles: Rock Band";"X360";"2009";"Misc";"MTV Games";1,31
1504;"Tekken 6";"X360";"2009";"Fighting";"Namco Bandai Games";1,31
1505;"[Prototype]";"X360";"2009";"Action";"Activision";1,31
1506;"Deal or No Deal";"Wii";"2009";"Misc";"Zoo Games";1,31
1509;"LEGO Battles";"DS";"2009";"Strategy";"Warner Bros. Interactive Entertainment";1,31
1512;"High School Musical 3: Senior Year DANCE!";"Wii";"2008";"Misc";"Disney Interactive Studios";1,31
1513;"Gold's Gym: Cardio Workout";"Wii";"2008";"Sports";"Ubisoft";1,31
1517;"Crysis 2";"PS3";"2011";"Action";"Electronic Arts";1,3
1519;"Saints Row IV";"PS3";"2013";"Action";"Deep Silver";1,3
1521;"EA Playground";"Wii";"2007";"Sports";"Electronic Arts";1,3
1524;"EA Sports Active 2";"Wii";"2010";"Sports";"Electronic Arts";1,3
1526;"Rise of the Tomb Raider";"XOne";"2015";"Adventure";"Square Enix";1,3
1530;"FIFA Street";"PS3";"2012";"Sports";"Electronic Arts";1,29
1533;"Tom Clancy's Rainbow Six: Siege";"XOne";"2015";"Shooter";"Ubisoft";1,29
1536;"Guitar Hero: Aerosmith";"Wii";"2008";"Misc";"Activision";1,29
1537;"Mystery Case Files: MillionHeir";"DS";"2008";"Adventure";"Nintendo";1,29
1538;"Valkyria Chronicles";"PS3";"2008";"Role-Playing";"Sega";1,29
1541;"Watch Dogs";"X360";"2014";"Action";"Ubisoft";1,28
1542;"Imagine: Wedding Designer";"DS";"2008";"Simulation";"Ubisoft";1,28
1543;"Metal Gear Solid V: Ground Zeroes";"PS4";"2014";"Action";"Konami Digital Entertainment";1,28
1545;"Assassin's Creed Syndicate";"XOne";"2015";"Action";"Ubisoft";1,28
1547;"WWE '13";"X360";"2012";"Action";"THQ";1,28
1550;"Kid Icarus: Uprising";"3DS";"2012";"Action";"Nintendo";1,28
1552;"Tomb Raider: Underworld";"PS3";"2008";"Action";"Eidos Interactive";1,27
1555;"LEGO Batman: The Videogame";"PS2";"2008";"Action";"Warner Bros. Interactive Entertainment";1,27
1557;"Pokemon Mystery Dungeon: Gates to Infinity";"3DS";"2012";"Role-Playing";"Nintendo";1,27
1559;"NBA 2K9";"X360";"2008";"Sports";"Take-Two Interactive";1,27
1560;"WWE '12";"X360";"2011";"Fighting";"THQ";1,27
1563;"The Elder Scrolls Online";"XOne";"2015";"Role-Playing";"Bethesda Softworks";1,27
1564;"Jillian Michaels' Fitness Ultimatum 2009";"Wii";"2008";"Sports";"Deep Silver";1,27
1566;"Rockstar Games presents Table Tennis";"Wii";"2007";"Sports";"Take-Two Interactive";1,27
1570;"Yokai Watch 3";"3DS";"2016";"Action";"Level 5";1,27
1571;"Kung Fu Panda";"DS";"2008";"Action";"Activision";1,26
1573;"Football Manager 2011";"PC";"2010";"Sports";"Sega";1,26
1575;"Final Fantasy IV";"DS";"2007";"Simulation";"Square Enix";1,26
1580;"Ratatouille";"DS";"2007";"Action";"THQ";1,26
1582;"LEGO The Lord of the Rings";"X360";"2012";"Action";"Warner Bros. Interactive Entertainment";1,26
1583;"Winter Sports: The Ultimate Challenge";"Wii";"2007";"Sports";"RTL";1,26
1584;"SOCOM: U.S. Navy SEALs Confrontation";"PS3";"2008";"Shooter";"Sony Computer Entertainment";1,25
1586;"Star Wars: The Force Unleashed";"PS2";"2008";"Action";"LucasArts";1,25
1588;"Tom Clancy's Rainbow Six: Vegas";"PS3";"2007";"Shooter";"Ubisoft";1,25
1592;"Injustice: Gods Among Us";"PS3";"2013";"Fighting";"Warner Bros. Interactive Entertainment";1,25
1601;"Transformers: Autobots / Decepticons";"DS";"2007";"Action";"Activision";1,24
1602;"Tales of Xillia";"PS3";"2011";"Role-Playing";"Namco Bandai Games";1,24
1603;"Diddy Kong Racing DS";"DS";"2007";"Racing";"Nintendo";1,24
1604;"[Prototype]";"PS3";"2009";"Action";"Activision";1,24
1605;"Assassin's Creed: Bloodlines";"PSP";"2009";"Action";"Ubisoft";1,24
1607;"The Witcher 3: Wild Hunt";"XOne";"2015";"Role-Playing";"Namco Bandai Games";1,24
1609;"WWE SmackDown vs. Raw 2009";"PS2";"2008";"Fighting";"THQ";1,24
1612;"Ben 10: Protector of Earth";"Wii";"2007";"Action";"D3Publisher";1,23
1614;"2010 FIFA World Cup South Africa";"PS3";"2010";"Sports";"Electronic Arts";1,23
1619;"Farming Simulator 2015";"PC";"2014";"Simulation";"Focus Home Interactive";1,23
1620;"Guitar Hero: Aerosmith";"X360";"2008";"Misc";"Activision";1,23
1621;"Medal of Honor: Airborne";"PS3";"2007";"Shooter";"Electronic Arts";1,23
1627;"Bayonetta";"PS3";"2009";"Action";"Sega";1,23
1630;"Madden NFL 17";"PS4";"2016";"Sports";"Electronic Arts";1,23
1631;"Boom Blox";"Wii";"2008";"Puzzle";"Electronic Arts";1,23
1632;"Fallout 4";"PC";"2015";"Role-Playing";"Bethesda Softworks";1,23
1633;"The Sims 2: Castaway";"Wii";"2007";"Simulation";"Electronic Arts";1,23
1634;"LEGO Batman 2: DC Super Heroes";"PS3";"2012";"Action";"Warner Bros. Interactive Entertainment";1,22
1635;"Naruto Shippuden: Ultimate Ninja Storm 2";"PS3";"2010";"Fighting";"Namco Bandai Games";1,22
1642;"F1 2011";"PS3";"2011";"Racing";"Codemasters";1,22
1652;"Super Street Fighter IV: 3D Edition";"3DS";"2011";"Fighting";"Capcom";1,22
1656;"FIFA Soccer 11";"PSP";"2010";"Sports";"Electronic Arts";1,21
1658;"LEGO Indiana Jones 2: The Adventure Continues";"DS";"2009";"Action";"Activision";1,21
1669;"LEGO Star Wars III: The Clone Wars";"PS3";"2011";"Action";"LucasArts";1,2
1672;"Just Dance 2016";"Wii";"2015";"Misc";"Ubisoft";1,2
1673;"Disney Sing It";"Wii";"2008";"Misc";"Disney Interactive Studios";1,2
1674;"Battlefield: Hardline";"XOne";"2015";"Shooter";"Electronic Arts";1,2
1675;"WWE 2K16";"PS4";"2015";"Sports";"Take-Two Interactive";1,2
1684;"PokéPark Wii: Pikachu's Adventure";"Wii";"2009";"Adventure";"Nintendo";1,2
1685;"One Piece: Pirate Warriors";"PS3";"2012";"Action";"Namco Bandai Games";1,2
1686;"WWE 2K14";"PS3";"2013";"Sports";"Take-Two Interactive";1,19
1690;"WWE SmackDown vs Raw 2008";"PSP";"2007";"Fighting";"THQ";1,19
1692;"Pro Evolution Soccer 2008";"Wii";"2008";"Sports";"Konami Digital Entertainment";1,19
1694;"Mario & Sonic at the London 2012 Olympic Games";"3DS";"2012";"Sports";"Sega";1,19
1700;"FIFA 14";"XOne";"2013";"Sports";"Electronic Arts";1,19
1703;"NBA 2K17";"PS4";"2016";"Sports";"Take-Two Interactive";1,19
1704;"Pokemon Super Mystery Dungeon";"3DS";"2015";"Role-Playing";"Nintendo";1,19
1705;"Just Dance 4";"X360";"2012";"Misc";"Ubisoft";1,19
1708;"Resident Evil: Operation Raccoon City";"PS3";"2012";"Action";"Capcom";1,18
1709;"LEGO Indiana Jones: The Original Adventures";"PSP";"2008";"Action";"LucasArts";1,18
1714;"WWE '12";"PS3";"2011";"Fighting";"THQ";1,18
1715;"WWE SmackDown vs. Raw 2010";"PS3";"2009";"Fighting";"THQ";1,18
1716;"Plants vs. Zombies";"DS";"2011";"Strategy";"Mastertronic";1,18
1719;"Spore";"PC";"2008";"Strategy";"Electronic Arts";1,17
1721;"Your Shape: Fitness Evolved 2012";"X360";"2011";"Sports";"Ubisoft";1,17
1722;"Army of Two";"PS3";"2008";"Shooter";"Electronic Arts";1,17
1725;"Wario Land: Shake It!";"Wii";"2008";"Platform";"Nintendo";1,17
1726;"Sonic Rush Adventure";"DS";"2007";"Platform";"Sega";1,17
1727;"Medal of Honor: Warfighter";"X360";"2012";"Action";"Electronic Arts";1,17
1729;"Ratchet & Clank (2016)";"PS4";"2016";"Platform";"Sony Computer Entertainment";1,17
1736;"Football Manager 2013";"PC";"2012";"Sports";"Sega";1,17
1738;"Mirror's Edge";"X360";"2008";"Platform";"Electronic Arts";1,17
1739;"Destiny: The Taken King";"XOne";"2015";"Shooter";"Activision";1,17
1741;"007: Quantum of Solace";"PS3";"2008";"Action";"Activision";1,16
1742;"EA Sports Active: More Workouts";"Wii";"2009";"Sports";"Electronic Arts";1,16
1743;"Fallout: New Vegas";"PC";"2010";"Role-Playing";"Bethesda Softworks";1,16
1744;"Need for Speed: Most Wanted";"PSV";"2012";"Racing";"Electronic Arts";1,16
1745;"Final Fantasy Tactics: The War of the Lions";"PSP";"2007";"Role-Playing";"Square Enix";1,16
1748;"SingStar";"PS3";"2007";"Misc";"Sony Computer Entertainment";1,16
1750;"LEGO Star Wars III: The Clone Wars";"DS";"2011";"Action";"LucasArts";1,16
1757;"Medal of Honor Heroes 2";"PSP";"2007";"Shooter";"Electronic Arts";1,16
1758;"Sniper: Ghost Warrior";"X360";"2010";"Shooter";"City Interactive";1,16
1759;"Rocksmith";"PS3";"2011";"Misc";"Ubisoft";1,16
1761;"FIFA Soccer 10";"PSP";"2009";"Sports";"Electronic Arts";1,16
1762;"Plants vs. Zombies: Garden Warfare";"X360";"2014";"Shooter";"Electronic Arts";1,16
1763;"Worldwide Soccer Manager 2009";"PC";"2008";"Simulation";"Sega";1,15
1764;"Omerta: City of Gangsters";"PS3";"2011";"Simulation";"Konami Digital Entertainment";1,15
1766;"Ninja Gaiden Sigma";"PS3";"2007";"Action";"Eidos Interactive";1,15
1769;"Red Dead Redemption: Undead Nightmare";"PS3";"2010";"Action";"Take-Two Interactive";1,15
1770;"Sonic and the Black Knight";"Wii";"2009";"Platform";"Sega";1,15
1771;"Call of Duty 4: Modern Warfare";"PC";"2007";"Shooter";"Activision";1,15
1775;"High School Musical 2: Work This Out!";"DS";"2008";"Misc";"Disney Interactive Studios";1,15
1776;"Ratchet & Clank: All 4 One";"PS3";"2011";"Platform";"Sony Computer Entertainment";1,15
1778;"Fight Night Champion";"PS3";"2011";"Fighting";"Electronic Arts";1,15
1783;"Pokemon Rumble Blast";"3DS";"2011";"Action";"Nintendo";1,14
1788;"Hot Shots Golf: Out of Bounds";"PS3";"2007";"Sports";"Sony Computer Entertainment";1,14
1790;"Mirror's Edge";"PS3";"2008";"Platform";"Electronic Arts";1,14
1791;"Rabbids Go Home";"Wii";"2009";"Platform";"Ubisoft";1,14
1800;"Guitar Hero 5";"X360";"2009";"Misc";"Activision";1,14
1804;"ModNation Racers";"PS3";"2010";"Racing";"Sony Computer Entertainment";1,13
1805;"LEGO Star Wars III: The Clone Wars";"3DS";"2011";"Action";"LucasArts";1,13
1808;"Fantasy Life";"3DS";"2012";"Role-Playing";"Nintendo";1,13
1810;"WWE 2K15";"PS4";"2014";"Sports";"Take-Two Interactive";1,13
1813;"WWE 2K14";"X360";"2013";"Sports";"Take-Two Interactive";1,13
1814;"Alien: Isolation";"PS4";"2014";"Shooter";"Sega";1,13
1815;"Yakuza 3";"PS3";"2009";"Action";"Sega";1,13
1817;"The Beatles: Rock Band";"PS3";"2009";"Misc";"MTV Games";1,13
1818;"Dragon Age II";"X360";"2011";"Action";"Electronic Arts";1,12
1822;"Crackdown 2";"X360";"2010";"Shooter";"Microsoft Game Studios";1,12
1823;"Final Fantasy XIV: A Realm Reborn";"PS3";"2013";"Role-Playing";"Square Enix";1,12
1824;"Castlevania: Lords of Shadow";"PS3";"2010";"Action";"Konami Digital Entertainment";1,12
1825;"Rocksmith";"X360";"2011";"Misc";"Ubisoft";1,12
1826;"Disney Infinity 2.0: Marvel Super Heroes";"X360";"2014";"Action";"Disney Interactive Studios";1,12
1830;"Guitar Hero 5";"PS2";"2009";"Misc";"Activision";1,12
1831;"Worldwide Soccer Manager 2008";"PC";"2007";"Sports";"Russel";1,12
1834;"Mad Max (2015)";"PS4";"2015";"Action";"Warner Bros. Interactive Entertainment";1,11
1835;"Transformers: The Game (XBox 360, PS2, PS3, Wii & PC Versions)";"PS2";"2007";"Action";"Activision";1,11
1836;"GRID";"PS3";"2008";"Racing";"Codemasters";1,11
1837;"Guitar Hero Encore: Rocks The 80s";"PS2";"2007";"Misc";"RedOctane";1,11
1838;"Sunset Overdrive";"XOne";"2014";"Shooter";"Microsoft Game Studios";1,11
1844;"Need for Speed: ProStreet";"Wii";"2007";"Racing";"Electronic Arts";1,11
1848;"Toy Story 3: The Video Game";"PS3";"2010";"Action";"Disney Interactive Studios";1,11
1849;"Guitar Hero 5";"PS3";"2009";"Misc";"Activision";1,1
1851;"Medal of Honor: Airborne";"X360";"2007";"Shooter";"Electronic Arts";1,1
1852;"The Legend of Zelda: Tri Force Heroes";"3DS";"2015";"Action";"Nintendo";1,1
1855;"LEGO The Lord of the Rings";"PS3";"2012";"Action";"Warner Bros. Interactive Entertainment";1,1
1856;"Petz Dogz 2";"DS";"2007";"Simulation";"Ubisoft";1,1
1857;"WWE SmackDown vs. Raw 2011";"PS3";"2010";"Fighting";"THQ";1,1
1864;"NERF N-Strike";"Wii";"2008";"Shooter";"Electronic Arts";1,1
1871;"Lightning Returns: Final Fantasy XIII";"PS3";"2013";"Role-Playing";"Square Enix";1,1
1872;"Star Wars: The Force Unleashed";"PSP";"2008";"Action";"LucasArts";1,09
1873;"Imagine: Babysitters";"DS";"2008";"Simulation";"Ubisoft";1,09
1874;"The Simpsons Game";"PSP";"2007";"Action";"Electronic Arts";1,09
1876;"Skate 2";"X360";"2009";"Sports";"Electronic Arts";1,09
1878;"Virtua Fighter 5";"PS3";"2007";"Fighting";"Sega";1,09
1884;"Empire: Total War";"PC";"2009";"Strategy";"Sega";1,09
1886;"Tiger Woods PGA Tour 10";"Wii";"2009";"Sports";"Electronic Arts";1,09
1889;"Dante's Inferno";"PS3";"2010";"Action";"Electronic Arts";1,09
1890;"Sonic & Sega All-Stars Racing";"DS";"2010";"Racing";"Sega";1,09
1891;"Skylanders Giants";"PS3";"2012";"Action";"Activision";1,09
1892;"Endless Ocean";"Wii";"2007";"Adventure";"Nintendo";1,09
1894;"Sonic Free Riders";"X360";"2010";"Racing";"Sega";1,09
1896;"Prince of Persia";"PS3";"2008";"Action";"Ubisoft";1,08
1898;"Grand Theft Auto V";"PC";"2015";"Action";"Take-Two Interactive";1,08
1899;"The Biggest Loser";"Wii";"2009";"Sports";"THQ";1,08
1901;"MySims Agents";"DS";"2009";"Adventure";"Electronic Arts";1,08
1902;"Resident Evil: The Darkside Chronicles";"Wii";"2009";"Action";"Capcom";1,08
1903;"NCAA Football 13";"X360";"2012";"Action";"Electronic Arts";1,08
1904;"Grand Theft Auto: Chinatown Wars";"PSP";"2009";"Action";"Take-Two Interactive";1,08
1905;"FIFA Soccer 11";"Wii";"2010";"Sports";"Electronic Arts";1,08
1906;"The Orange Box";"PS3";"2007";"Shooter";"Electronic Arts";1,08
1908;"Tomb Raider: Underworld";"X360";"2008";"Action";"Eidos Interactive";1,08
1910;"DiRT 3";"PS3";"2011";"Racing";"Codemasters";1,08
1912;"Spore Creatures";"DS";"2008";"Simulation";"Electronic Arts";1,08
1917;"Naruto: Ultimate Ninja Storm";"PS3";"2008";"Fighting";"Namco Bandai Games";1,08
1918;"Marvel vs. Capcom 3: Fate of Two Worlds";"X360";"2011";"Fighting";"Capcom";1,08
1919;"NCAA Football 14";"X360";"2013";"Sports";"Electronic Arts";1,07
1922;"Imagine: Fashion Designer New York";"DS";"2008";"Simulation";"Ubisoft";1,07
1923;"Red Dead Redemption: Undead Nightmare";"X360";"2010";"Action";"Take-Two Interactive";1,07
1924;"Bully: Scholarship Edition";"X360";"2008";"Action";"Take-Two Interactive";1,07
1927;"WWE SmackDown vs. Raw 2010";"PS2";"2009";"Fighting";"THQ";1,07
1928;"Pro Evolution Soccer 2008";"X360";"2007";"Sports";"Konami Digital Entertainment";1,07
1932;"Skylanders SWAP Force";"PS3";"2013";"Platform";"Activision";1,07
1933;"F1 2012";"PS3";"2012";"Racing";"Codemasters";1,07
1935;"Disney Universe";"Wii";"2011";"Action";"Disney Interactive Studios";1,07
1937;"LEGO Pirates of the Caribbean: The Video Game";"X360";"2011";"Action";"Disney Interactive Studios";1,07
1941;"Aliens vs Predator";"X360";"2010";"Shooter";"Sega";1,06
1943;"Junior Brain Trainer";"DS";"2008";"Misc";"GSP";1,06
1944;"Darksiders";"X360";"2010";"Action";"THQ";1,06
1945;"DiRT";"PS3";"2007";"Racing";"Codemasters";1,06
1946;"Call of Duty 4: Modern Warfare";"DS";"2007";"Shooter";"Activision";1,06
1948;"Sega Superstars Tennis";"Wii";"2008";"Sports";"Sega";1,06
1950;"Sleeping Dogs";"PS3";"2012";"Action";"Square Enix";1,06
1951;"Mercenaries 2: World in Flames";"X360";"2008";"Shooter";"Electronic Arts";1,06
1954;"LEGO Indiana Jones: The Original Adventures";"PS3";"2008";"Action";"Activision";1,06
1957;"DJ Hero";"X360";"2009";"Misc";"Activision";1,06
1958;"Dora the Explorer: Dora Saves the Mermaids";"DS";"2007";"Platform";"Take-Two Interactive";1,06
1960;"Naruto Shippuden: Ultimate Ninja Storm 4";"PS4";"2016";"Fighting";"Namco Bandai Games";1,06
1962;"Virtua Tennis 3";"PS3";"2007";"Sports";"Sega";1,06
1964;"Warhawk";"PS3";"2007";"Simulation";"Sony Computer Entertainment";1,06
1965;"Apollo Justice: Ace Attorney";"DS";"2007";"Adventure";"Capcom";1,06
1966;"Assassin's Creed: Rogue";"X360";"2014";"Action";"Ubisoft";1,05
1969;"Skylanders: Trap Team";"Wii";"2014";"Action";"Activision";1,05
1970;"Aliens vs Predator";"PS3";"2010";"Shooter";"Sega";1,05
1972;"Dance on Broadway";"Wii";"2010";"Misc";"Ubisoft";1,05
1977;"UFC Undisputed 3";"PS3";"2012";"Action";"THQ";1,05
1979;"Dragon Ball: XenoVerse";"PS4";"2015";"Fighting";"Namco Bandai Games";1,05
1982;"Imagine: Animal Doctor";"DS";"2007";"Simulation";"Ubisoft";1,05
1983;"WWE SmackDown vs. Raw 2010";"X360";"2009";"Fighting";"THQ";1,05
1986;"MySims Agents";"Wii";"2009";"Adventure";"Electronic Arts";1,05
1988;"Pokemon Conquest";"DS";"2012";"Role-Playing";"Nintendo";1,05
1989;"The Simpsons Game";"X360";"2007";"Action";"Electronic Arts";1,05
1990;"Guinness World Records: The Videogame";"Wii";"2008";"Action";"Warner Bros. Interactive Entertainment";1,04
1993;"Dragon Ball Z: Budokai Tenkaichi 3";"Wii";"2007";"Fighting";"Atari";1,04
1994;"Disney Tangled";"DS";"2010";"Action";"Disney Interactive Studios";1,04
1997;"Disney Fairies: Tinker Bell and the Lost Treasure";"DS";"2009";"Adventure";"Disney Interactive Studios";1,04
2001;"Brink";"X360";"2011";"Shooter";"Bethesda Softworks";1,04
2005;"LEGO Indiana Jones 2: The Adventure Continues";"X360";"2009";"Action";"Activision";1,04
2006;"Project CARS";"PS4";"2015";"Racing";"Slightly Mad Studios";1,04
2008;"Kirby: Mass Attack";"DS";"2011";"Platform";"Nintendo";1,04
2009;"LEGO Marvel Super Heroes";"XOne";"2013";"Action";"Warner Bros. Interactive Entertainment";1,04
2010;"ZhuZhu Pets";"DS";"2010";"Simulation";"Activision";1,04
2011;"Tom Clancy's Ghost Recon Advanced Warfighter 2";"PS3";"2007";"Shooter";"Ubisoft";1,04
2012;"MotorStorm: Arctic Edge";"PSP";"2009";"Racing";"Sony Computer Entertainment";1,04
2014;"EA Sports UFC";"PS4";"2014";"Sports";"Electronic Arts";1,04
2016;"Sonic Unleashed";"PS3";"2008";"Platform";"Sega";1,03
2017;"Tiger Woods PGA Tour 08";"Wii";"2007";"Sports";"Electronic Arts";1,03
2018;"Rayman Origins";"PS3";"2011";"Platform";"Ubisoft";1,03
2019;"Epic Mickey 2: The Power of Two";"Wii";"2012";"Action";"Disney Interactive Studios";1,03
2023;"The Simpsons Game";"Wii";"2007";"Action";"Electronic Arts";1,03
2025;"Rock Band 2";"Wii";"2008";"Misc";"MTV Games";1,03
2027;"Bulletstorm";"X360";"2011";"Shooter";"Electronic Arts";1,02
2028;"FIFA Soccer 08";"Wii";"2007";"Sports";"Electronic Arts";1,02
2029;"Naruto: Clash of Ninja Revolution";"Wii";"2007";"Fighting";"Tomy Corporation";1,02
2030;"Tom Clancy's Ghost Recon Advanced Warfighter 2";"X360";"2007";"Shooter";"Ubisoft";1,02
2033;"Petz: Catz 2";"DS";"2007";"Simulation";"Ubisoft";1,02
2034;"Tales of Graces f";"PS3";"2010";"Role-Playing";"Namco Bandai Games";1,02
2036;"Wall-E";"Wii";"2008";"Platform";"THQ";1,02
2038;"Ace Combat 6: Fires of Liberation";"X360";"2007";"Simulation";"Atari";1,02
2040;"Disney Infinity 2.0: Marvel Super Heroes";"PS3";"2014";"Action";"Disney Interactive Studios";1,02
2044;"Prince of Persia";"X360";"2008";"Action";"Ubisoft";1,01
2045;"God of War: Ghost of Sparta";"PSP";"2010";"Action";"Sony Computer Entertainment";1,01
2046;"Sonic Generations";"3DS";"2011";"Platform";"Sega";1,01
2047;"Ninja Gaiden II";"X360";"2008";"Action";"Tecmo Koei";1,01
2050;"Guitar Hero: Warriors of Rock";"Wii";"2010";"Misc";"Activision";1,01
2053;"The LEGO Movie Videogame";"PS3";"2014";"Action";"Warner Bros. Interactive Entertainment";1,01
2054;"DiRT 2";"PS3";"2009";"Racing";"Codemasters";1,01
2055;"Rayman Legends";"PS4";"2014";"Platform";"Ubisoft";1,01
2056;"NERF N-Strike Elite";"Wii";"2009";"Shooter";"Electronic Arts";1
2059;"PES 2009: Pro Evolution Soccer";"X360";"2008";"Sports";"Konami Digital Entertainment";1
2067;"Haze";"PS3";"2008";"Shooter";"Ubisoft";1
2068;"UFC Undisputed 3";"X360";"2012";"Action";"THQ";1
2072;"Killzone: Mercenary";"PSV";"2013";"Shooter";"Sony Computer Entertainment Europe";1
2076;"Rocksmith 2014";"PS3";"2013";"Misc";"Ubisoft";1
2077;"Dead Space 3";"PS3";"2013";"Action";"Electronic Arts";1
2078;"Wheel of Fortune";"Wii";"2010";"Misc";"THQ";1
2079;"Disney Infinity";"PS3";"2013";"Action";"Disney Interactive Studios";1
2080;"Dark Souls";"X360";"2011";"Role-Playing";"Namco Bandai Games";1
2081;"Puzzler Collection";"DS";"2008";"Puzzle";"Ubisoft";1
2083;"Dead Space 3";"X360";"2013";"Action";"Electronic Arts";0,99
2087;"Littlest Pet Shop: Winter";"DS";"2008";"Simulation";"Electronic Arts";0,99
2089;"Tom Clancy's Splinter Cell: Blacklist";"X360";"2013";"Action";"Ubisoft";0,99
2091;"NCAA Football 12";"X360";"2011";"Sports";"Electronic Arts";0,99
2092;"LEGO Pirates of the Caribbean: The Video Game";"PS3";"2011";"Action";"Disney Interactive Studios";0,99
2093;"Band Hero";"Wii";"2009";"Misc";"Activision";0,99
2094;"Cars: Race-O-Rama";"Wii";"2009";"Racing";"THQ";0,99
